№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
6298674;13.11.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;968024,18;#2201280#,#2282-968024.18#,#утрим.за прожив.за 10.15р.#,#№с-165 вiд 12.11.15#,#стип.студ. #,# без ПДВ#
6881594;20.11.2015;38621185;МОН України;820172;ДКСУ;2070944;Київ.нац.унiв-т iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;920000;#2201040#,#2281#,#Попередня оплата етапу №1 на виконання НТР#,#згiдно договору вiд 30.10.2015 р. № ДЗ/44-2015, ККДБ 25010100#,#без ПДВ#
2926564;13.10.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;883449,51;#2201280#,#2282-883449.51#,#утрим.за прожвив.за 09.15р.#,#№с-136 вiд 12.10.15#,#зi стип.студ. #,# без ПДВ#
6881779;20.11.2015;38621185;МОН України;820172;ДКСУ;2070944;Київ.нац.унiв-т iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;600000;#2201040#,#2281#,#Попередня оплата етапу №1 на виконання НТР#,#згiдно договору вiд 30.10.2015 р. № ДЗ/53-2015, ККДБ 25010100#,#без ПДВ#
3672280;21.10.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;899998;;500760,41;*10102070944КПКВК 2201280 КЕКВ 2282- 500760,41 ПДВ за Вересень 2015 року
10510460;23.12.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;899998;;339691,9;*10102070944КПКВК 2201290 КЕКВ 2281-339691,90 ПДВ за Листопад 2015року
8470342;04.12.2015;26380187;МЦЯБ КНУ ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;820019;ГУДКСУ у м.Києві;302442,21;#2201290#,#2281(2800)-302442.21#,#оплата за вiдшкодування ПДВ за 11.2015 #,#авизо 9 вiд 30.11.15#,#Дог. вiд #,# без ПДВ#
7108181;24.11.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;899998;;252182,36;*10102070944КПКВК 2201280 КЕКВ 2282- 252182,36 ПДВ за Жовтень 2015 року
10507321;23.12.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;899998;;230150,64;*10102070944КПКВК 2201280 КЕКВ 2282- 230150,64 ПДВ за Листопад 2015 року
8562556;07.12.2015;26252928;Держ.фонд фундаметальних досліджень;820019;ГУДКСУ у м.Києві;2070944;Київський нац.унiвер.iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;160000;#2201040#,#2281#,#Попередня оплата етапу НДР#,#зг.дог.Ф69/56-2015 вiд 30.11.2015р.нак.№16 вiд 25.11.15р.#.#Без ПДВ#
