№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
13750810;11.02.2016;02070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;1091279,77;"xxxx,77Перерахунок залишку коштiв в зв`язку з закриттям рахунку. без ПДВ."
13877573;12.02.2016;02070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;888958,62;"22012802282888958/62утрим.за прожив.за 01.16р.№с-15 від 11.02.16 зі стип.студ. без ПДВ."
14290463;18.02.2016;02070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;560502,00;"22012802282-560502.00перерах.утрим.за прож.за 12.15р заявка№С-214 вiд 12.01.16 без ПДВ."
12551973;26.01.2016;02070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;899998;;364183,67;"*10102070944КПКВК 2201290 КЕКВ 2281-364183,67 ПДВ за Грудень 2015року"
13274288;02.02.2016;26380187;МЦЯБ КНУ ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;250000,00;"22012902281(2800)-250000.00та за вiдшкодування ПДВ згiдно декларацiї вiд 20.01.2016 2800 вiд 28.01.16Дог. вiд  без ПДВ."
12010662;14.01.2016;02070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;230379,47;"#2201280#,#2282-230379.47#,#утрим.за проживання зi стип.студ.#,#№заявка№С-214 вiд 12.01.16#,#за 12.15р.#,# без ПДВ#"
13750115;11.02.2016;02070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;160390,98;"xxxx,98Перерахунок залишкiв коштiв у зв`язку закриттям рахунку без ПДВ."
13459507;05.02.2016;02070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;65065,31;"22012802282-65065.31утрим.за прожив.за 12.15р.№С-9 вiд 25.01.16стип.аспiр.та доктор. без ПДВ."
12011219;14.01.2016;02070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;49355,85;"#2201280#,#2282-49355.85#,#Готiвка по чеку АЗ1435054#,#№заявка№С-217 вiд 14.01.16#,#стип.студ.за 01.16р.#,# без ПДВ#"
12010815;14.01.2016;02070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;02070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;45883,30;"#2201280#,#2282-45883.30#,#Вiдшкодув.за електороенерг.за 12.15р.#,#№заявка№С-214 вiд 12.01.16#,#стип.студ.#,# без ПДВ#"
