№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
2107627;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360920;ПАТКБ Правекс-Банк м.Київ;380838;Test Bank;6924918,84;#2201280#,#2282-6924918.84#,#перерах.з-та за 2 пол.09.15р.#,#зг.дог№31-Zвiд 22.03.00р.#,# без ПДВ #
662919;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360920;"ПАТКБ ""Правекс- Банк""";380838;Test Bank;6675800,73;#2201280#,#2282-6675800.73#,#перерах.з-та за 1пол.09.15р.#,#зг.дог№31-Zвiд 22.03.00р.#,# без ПДВ #
2100518;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;4768708,61;*101 02070944 КПКВ2201280  КЕКВ 2282   нарах .єдиний внесок 36,3%  iз з-ти за 2пол.09.15.
663425;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;4554483,02;* 101 02070944КПКВ2201280  КЕКВ 2282  єдиний внесок 36,3% нарахов. iз з-ти за 1пол.09.15.
663889;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";3359868,69;#2201280#,#2282-3359868.69#,#перерах.з-та за 1 пол.09.15р.#,#зг.договору № 10407000039 вiд 07.04.2010р.#,# без ПДВ #
2100928;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360570;"Ф""РОЗРАХ.ЦЕНТР"" ПАТ КБ ""ПРИВАТБАНК"",Ки";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";2909272,73;#2201280#,#2282-2909272.73#,#перерах.з-та за 2 пол.09.15р.#,#зг.договору № 10407000039 вiд 07.04.2010р.#,# без ПДВ #
2100395;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;2128239,11;*11010100 КПКВК 2201280КЕКВ 2282-2128239,11 Перерах.подат.на доходи найман. працiв. iз з-ти за 2 пол.09.15р. без ПДВ
2100068;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";1839427,93;#2201280#,#2282-1839427.93#,#перерах.з-та за 2 пол.09.15р.#,#зг.договору № 10407000039 вiд 07.04.2010р.#,# без ПДВ #
2110992;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;1578071,24;*101 02070944 КПКВ2201280  КЕКВ 2282   нарах .єдиний внесок 36,3%  iз з-ти за 2пол.09.15.
2112151;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360920;"іLTі+ ""іравекс- +анк""";380838;Test Bank;1566262,63;#2201280#,#2282-1566262.63#,#перерах.з-та за 2 пол.09.15р.#,#зг.догі31-Zвiд 22.03.00р.#,# без і-T #
661285;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;1535591,76;*11010100 КПКВК 2201280КЕКВ 2282- 1535591.76  Перерах.подат.на доходи найман. працiв. iз з-ти за1 пол. 09.15р. без ПДВ
2104568;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360920;"ПАТКБ ""Правекс- Банк""";380838;Test Bank;1045776,07;#2201290#,#2281-1045776.07#,#з-та за 2 пол.09.15р.#,#зг.дог №31-Z вiд 22.03.00р.#,# без ПДВ #
1345670;25.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";948460,98;#2201280#,#2282-948460.98#,#перерах.стип.аспiр.та доктор.за 09.15р.#,#№заявка №С-125 вiд 24.09.15#,#Дог.№10407000039 вiд 07.04.10р. #,# без ПДВ#
664143;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;14360920;"ПАТКБ ""Правекс- Банк""";380838;Test Bank;796442,53;#2201290#,#2281-796442.53#,#з-та за 1 пол. 09.15р.#,#зг.дог №31-Z вiд 22.03.00р.#,# без ПДВ #
2106200;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;732381,72;*11010100 КПКВК 2201280КЕКВ 2282-732381,72  Перерах.подат.на доходи найман. працiв. iз з-ти за 2 пол.09.15р. без ПДВ
2113151;30.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;678430,74;*10102070944КПКВК 2201290 КЕКВ2281 єдиний внесок 36,3%   нарах. на  з/пл за 2 пол. 09.15р.
662427;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;624113,98;*101 02070944КПКВ2201280 КЕКВ2282 єдиний внесок 6,1% утриманий iз з-ти за1 пол. 09.2015р.
660497;17.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;38716554;МГУ Мiндоходiв-Центральний офiс;820019;ГУДКСУ у м.Києві;491529,24;#2201290#,#2281-491529.24#,#  02070944201 36,3%  ЄСВ нарах. на  з/пл за1 пол. 09.15р.#,#без ПДВ#
1350200;25.09.2015;2070944;Київський нац.універ-т ім.Т.Шевченка;820019;ГУДКСУ у м.Києві;9322277;ТВБВ №10026/0688 Фiлiї-Головногоуправл;322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;475230;#2201280#,#2282-475230.00#,#перерах.стип.аспiр.та доктор.за 09.15р.#,#№заявка №С-125 вiд 24.09.15#,#Дог.№98 вiд 24.07.14р.#,# без ПДВ#
