№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
12163209;18.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360920;ПАТКБ Правекс-Банк м.Київ;380838;Test Bank;8498636,34;#2201280#,#2282-8498636.34#,#перерах.з-та за 1 пол. 01.16р.#,#зг.дог№31-Zвiд 22.03.00р.#,# без ПДВ #
14286254;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360920;ПАТКБ Правекс-Банк м.Київ;380838;Test Bank;7238589,21;22012802282-7238589.21перерах.з-та за 1 пол. 02.16р.зг.дог№31-Zвiд 22.03.00р. без ПДВ.
12011341;14.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";6903624,7;#2201280#,#2282-6903624.70#,#Перерах.стип.студ.за 01.16р.#,#№заявка№С-214 вiд 12.01.16#,#Дог.№10407000039 вiд 07.04.10р.#,# без ПДВ#
13902953;12.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";6036929,55;22012802282-6036929.55 перерах.студ. за 02.16р. № с-15 вiд 11.02.16 дог. № 10407000039 вiд 07.04.10 р. без ПДВ.
13461048;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360920;"ПАТКБ ""Правекс- Банк""";380838;Test Bank;4872929,06;22012802282-305813.35перерах.з-та за 2 пол.01.16р.зг.дог№31-Zвiд 22.03.00р.без ПДВ .
12158778;18.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""РОЗРАХ.ЦЕНТР"" ПАТ КБ ""ПРИВАТБАНК"",Ки";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";4677120,72;#2201280#,#2282-4677120.72#,#перерах.з-та за 1 пол. 01.16р.#,#зг.договору № 10407000039 вiд 07.04.2010р.#,# без ПДВ #
13464253;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360920;ПАТКБ Правекс-Банк м.Київ;380838;Test Bank;4135419,84;22012802282-4135419.84перерах.з-та за 2 пол. 01.16р.зг.дог№31-Zвiд 22.03.00р.без ПДВ.
13330788;03.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;3953252,92;*101 02070944 КПКВ2201280  КЕКВ 2282   нарах .єдиний внесок 22%  iз з-ти за 2пол.01.16.
13328907;03.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;3606760,17;*11010100 КПКВК 2201280КЕКВ 2282-3606760,17  Перерах.подат.на доходи найман. працiв. iз з-ти за 2 пол.01.16р. без ПДВ.
14291062;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""РОЗРАХ.ЦЕНТР"" ПАТ КБ ""ПРИВАТБАНК"",Ки";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";3227873,89;22012802282-3227873.89перерах.з-та за 1 пол. 02.16р.зг.договору № 10407000039 вiд 07.04.2010р.без ПДВ.
14288056;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;2849281,86;*101 02070944КПКВ2201280  КЕКВ 2282   нарах .єдиний внесок 22%  iз з-ти за 1пол.02.16
12158568;18.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;2748839,62;*101 02070944КПКВ2201280  КЕКВ 2282   перерах. єдиний внесок 22% iз з-ти за 1пол. 01.16.
14287978;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""РОЗРАХ.ЦЕНТР"" ПАТ КБ ""ПРИВАТБАНК"",Ки";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";2306047,69;22012802282-2306047.69перерах.з-та за 1 пол. 02.16р.зг.договору № 10407000039 вiд 07.04.2010р. без ПДВ.
13458832;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""РОЗРАХ.ЦЕНТР"" ПАТ КБ ""ПРИВАТБАНК"",Ки";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";2291526,84;22012802282-2291526.84перерах.з-та частково за 2 пол. 01.16р.зг.договору № 10407000039 вiд 07.04.2010р.без ПДВ.
13455233;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";2218241,06;22012802282-2218241.06рах.стип.аспiр.та доктор. за 01.16р. № с-9 вiд 25.01.16дог. № 10407000039 вiд 07.04.10 р. без ПДВ.
13455224;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""Розрах.Центр""ПАТ КБ""Приватбанк""м.Киї";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";2092315,8;22012802282-2092315.8перерах.з-та за 2 пол.01.16р.зг.договору № 10407000039 вiд 07.04.2010р. без ПДВ.
13521090;08.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;131305;"ПАТ ""Київенерго""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2089876,92;22012802282-2089876.92кредит.заборг.за 2015 опл.за теплову енергiю,грудень 2015акт №12/2015-310685 вiд 29.12.15Дог.310685Т вiд 09.11.15в т.ч. ПДВ 348312.82.
12010698;14.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;"Фiлiї-Головне управлiння АТ""Ощадбанк""м";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2077472,31;#2201280#,#2282-2077472.31#,#Перерах.стип.студ.за 01.16р.#,#№заявка№С-214 вiд 12.01.16#,#Дог.№98 вiд 24.07.14р.#,# без ПДВ#
13892617;12.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;ТВБВ №10026/0688 Фiлiї-Головногоуправл;322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;2033442,08;22012802282-2033442.08 перерах.студ. за 02.16р. № с-15 вiд 11.02.16 дог.№98  вiд 24.07.14р. без ПДВ.
13458232;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360920;ПАТКБ Правекс-Банк м.Київ;380838;Test Bank;1984207,29;22012802282-1984207.29перерах.з-та частково за 2 пол. 01.16р.зг.дог№31-Zвiд 22.03.00р.без ПДВ.
14295963;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;1950820,6;*11010100КПКВК 2201280 КЕКВ 2282-1950820.6 перерах.податок на доходи найман.працiвникiв iз ЗП за 1 пол.02.2016 р.Без ПДВ.
12160344;18.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;1882050,71;*11010100КПКВК 2201280 КЕКВ 2282- 1882050.71 Перерах.подат.18% на доходи найман. працiв. iз з-ти за 1 пол. 01.16р. без ПДВ
13461058;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360570;"Ф""РОЗРАХ.ЦЕНТР"" ПАТ КБ ""ПРИВАТБАНК"",Ки";320649;"Ф""РОЗРАХ.ЦЕНТР""ЗАТКБ ПРИВАТБАНКУ, КИЇВ";1874885,37;22012802282-1874885.37перерах.з-та за 2 пол. 01.16р.зг.договору № 10407000039 вiд 07.04.2010р.без ПДВ.
14292104;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;14360920;"ПАТКБ ""Правекс- Банк""";380838;Test Bank;1846728,69;22012802282-1846728.69перерах.з-та за 1 пол. 02.16р.зг.дог№31-Zвiд 22.03.00р. без ПДВ.
12900261;28.01.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;131305;"ПАТ ""Київенерго""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;1626434,15;22012802282-1626434.15опл.за активну електроенергiю,сiчень 2016акт №833/1/1 вiд 25.01.16,дог.1 вiд 22.01.16в т.ч. ПДВ 271072.36.
13333037;03.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;1406776,44;*101 02070944 КПКВ2201280  КЕКВ 2282   нарах .єдиний внесок 22%  iз з-ти за 2пол.01.16.
13329118;03.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;37995466;УДКСУ у Шевченкiвському р-нi м.Києва;820019;ГУДКСУ у м.Києві;1296668,39;*11010100 КПКВК 2201280КЕКВ 2282-1957311.39  Перерах.подат.на доходи найман. працiв. iз з-ти за 2 пол.01.16р. без ПДВ
14295111;18.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;39440996;МГУ ДФС-Центральний офiс з ОВП;820019;ГУДКСУ у м.Києві;1140560,21;*101 02070944КПКВ2201280  КЕКВ 2282   нарах .єдиний внесок 22%  iз з-ти за 1пол.02.16
13455060;05.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;9322277;ТВБВ №10026/0688 Фiлiї-Головногоуправл;322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;1117530,87;22012802282-1117530.87перерах.стип.аспiр.та доктор. за 01.16р.№ с-9 вiд 25.01.16дог.№98  вiд 24.07.14р. без ПДВ.
13750810;11.02.2016;2070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;2070944;Київський нацiональний унiверситетiмен;820172;ДКСУ;1091279,77;xxxx,77Перерахунок залишку коштiв в зв`язку з закриттям рахунку. без ПДВ.
13519474;08.02.2016;2070944;Київський нац.універ-т ім.Т.Шевченка;820172;ДКСУ;131305;"ПАТ ""Київенерго""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;1002786,5;22012802282-1002786.50кредит.заборг.за 2015 опл.за теплову енергiю,грудень 2015акт №12/2015-540042 вiд 30.12.15Дог.540042Т вiд 09.11.15в т.ч. ПДВ 167131.08.
