є “–јЌ—ј ÷≤ѓ;ƒј“ј; ќƒ ѕЋј“Ќ» ;Ќј«¬ј ѕЋј“Ќ» ј;ћ‘ќ ѕЋј“Ќ» ј;ЅјЌ  ѕЋј“Ќ» ј; ќƒ ќƒ≈–∆”¬ј„;Ќј«¬ј ќƒ≈–∆”¬ј„;ћ‘ќ ќƒ≈–∆”¬ј„;ЅјЌ  ќƒ≈–∆”¬ј„;—”ћј;ѕ–»«Ќј„≈ЌЌя ѕЋј“≈∆”
1045155;23.09.2015;2070921;"Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";899998;NA;110261,35;*10102070921ѕƒ¬ за серпень 2015  ѕ ¬  2201040  ≈ ¬ 2281(2800)  б.488 
1043651;23.09.2015;2070921;"Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";899998;NA;92777,32;*10102070921ѕƒ¬ за серпень 2015  ѕ ¬  2201160  ≈ ¬ 2282 (2800) б.488 
564769;16.09.2015;13936;ƒержкомтелерад≥о ”крањни;820172;ƒ —”;2070921;"Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;36960;"#1701110#,#2282#,#ѕопередн€ оплата  держ. замов.кн.ќ.¬.“р≥щук,Ќ.ћ.‘≥голь ,—лов.помилк.слововж.в сучас.мед≥а""#,#зг.дог.133,04.08.15р.,  ƒЅ25010200#,#Ѕез ѕƒ¬#"""
941633;22.09.2015;25882900;ƒќ” Ќћ÷;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;9530;#2201510#,#2800-9530.00#,#ѕослуги  вiдшкодуванн€ витрат по земельному податку зг.дог. є22-06/15 вiд 22.06.2015, акту є 7 вiд 17.09.2015#,#Ѕез ѕƒ¬#
854730;21.09.2015;1132330;Ќј”;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;8004;#2201160#,#2282(2240)-8004.00#,#оплата за послуги в галузi “«I #,#акт 1 вiд 17.09.15#,#ƒог.6215Ћ/606 вiд 02.09.15#,#в т.ч. ѕƒ¬ 1334 #
2107048;30.09.2015;34979237;"ƒ« ""≤—««≤ Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;7665;#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.прожив.(гутожиток)#дог.є11 07.04.15р.дод.уг 1  03.08.15р.#акт єб\н 1  29.09.2015р.#Ѕез ѕƒ¬#
2113713;30.09.2015;39629871;"ƒѕћ при Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;7000;#110202#,#2273 - 7000,00#,#ќплата за електроен. за 09.2015р.#,#акт є5 вiд 24.09.2015р., дог.є1 вiд 19.03.2015р.#,#ѕƒ¬-1166,67#,#ƒл€ б.н.498#
2103872;30.09.2015;34979237;"ƒ« ""≤—««≤ Ќ“”” "" ѕ≤""";820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;6132;#™ƒ–ѕќ” 34979237# ѕ ¬ -6641050#2240#послуги щодо забез.прожив.(гутожиток)#дог.є11 07.04.15р.дод.уг 1  03.08.15р.#акт єб\н 2  29.09.2015р.#Ѕез ѕƒ¬#
769197;18.09.2015;14282798;Ќац.≥нститут стратег≥чних досл≥джень;820172;ƒ —”;2070921;"Ќ“”” ”кр."" ињвськ.пол≥техн.≥нститут""";820019;√”ƒ —” у м. иЇв≥;5004;"#0301080# #2281# #посл.в сист.техн≥чного захисту# #дог.N6915Ћ 11.09.15. акт є1 16.09.15. Ќ“”” ѕ≤""  ѕ ¬ 2201040 Ќƒ÷""“≈«≤—"" б.є568, код дох25010100# #ѕƒ¬-834,00#"""
942197;22.09.2015;25882900;ƒќ” Ќћ÷;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;2440;#2201510#,#2273-2440,00#,#ѕослуги  електропостачанн€ зг.дог. є 22-06/15 вiд 22.06.2015, акту є 6 вiд 17.09.2015#,#в т.ч.ѕƒ¬-406,67#
944223;22.09.2015;25882900;ƒќ” Ќћ÷;820019;√”ƒ —” у м. иЇв≥;2070921;"Ќ“”” "" ѕI""";820019;√”ƒ —” у м. иЇв≥;2268;#2201510#,#2240-2268,00#,#ѕослуги доступу до iнтернету зг.дог.ј-159“-3 вiд 30.01.2015, акту єј-159“-3/08-2015вiд 18.09.2015.#,#в т.ч.ѕƒ¬-378,00#
