№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
13750605;11.02.2016;02070921;НТУ УКР."КИЇВС.ПОЛІТ.ІНС-Т";820019;ГУДКСУ у м.Києві;02070921;НТУУ "КПІ";820172;ДКСУ;939065,25;"Перерахування залишкiв коштiв (депоненти) в зв"язку з вiдкриттям нового рахунку."
12266670;20.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ"КПI";899998;;633514,33;"*10102070921 ПДВ за грудень 2015р. 2201160 КЕКВ 2282(28000) б.488"
12471079;25.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";899998;;288316,38;"*10102070921ПДВ за грудень 2015р 2201040 КЕКВ 2281 (2800) б.488 "
13518140;08.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";899998;;191383,00;"*10102070921ПДВ за сiчень 2016р. 2201040 КЕКВ 2281 (2800) б.488"
13517979;08.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";899998;;188547,73;"*10102070921ПДВ за сiчень 2016р. 2201160 КЕКВ 2282(2800) б.488"
13109175;29.01.2016;39629871;ДПМ при НТУУ "КПІ";820019;ГУДКСУ у м.Києві;02070921;НТУУ "КПI";820172;ДКСУ;38500,00;"#110202#,#2271 - 38500,00#,#Вiдшкодування теплопост. за 01.2016р.#,#акт №1 вiд 25.01.2016р., дог.№1 вiд 22.01.2016р.#,#ПДВ-6333,33#,#Для б.н.498#"
12475566;25.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";899998;;28585,31;"*10102070921ПДВ за грудень 2015р 2201040 КЕКВ 2281 (2800) б.488 "
13107255;29.01.2016;39629871;ДПМ при НТУУ "КПІ";820019;ГУДКСУ у м.Києві;02070921;НТУУ "КПI";820172;ДКСУ;15000,00;"#110202#,#2273 - 15000,00#,#Вiдшкодування електроен. за 01.2016р.#,#акт №1 вiд 25.01.2016р., дог.№1 вiд 22.01.2016р.#,#ПДВ-2500,00#,#Для б.н.498#"
14127949;16.02.2016;37485511;УПСЗН Солом'янської РДА;820172;ДКСУ;02070921;НТУ КПI;820172;ДКСУ;9378,33;"2501200 2730  Компенсацiйнi  виплати  по  ЧАЕС  за  сiчень-лютий 2016 р., згiдно розрахунку № 31 вiд 15.02.2016 р. без ПДВ."
13110237;29.01.2016;39629871;ДПМ при НТУУ "КПІ";820019;ГУДКСУ у м.Києві;02070921;НТУУ "КПI";820172;ДКСУ;4000,00;"#110202#,#2272 - 4000,00#,#Вiдшкодування водопост. за 01.2016р.#,#акт №1 вiд 25.01.2016р., дог.№1 вiд 22.01.2016р.#,#ПДВ-666,67#,#Для б.н.498#"
13524026;08.02.2016;25882900;ДОУ НМЦ;820172;ДКСУ;02070921;НТУУ "Київський полiтехнiчний iнститут;820172;ДКСУ;2268,00;"#2201510#,#2240-2268,00#,#плата за доступ до мережi iнтернет зг.дог. №А-159Т-4 вiд 03.02.2016, акту № А-159Т-4/01-2016 вiд 03.02.2016#,#в т.ч.ПДВ-378,00#"
14042396;15.02.2016;25408067;ННК "ІПСА" НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";820172;ДКСУ;661,30;"КПКВК 2201160, КЕКВ 2282(2240) вiдшкодування послуг з вивозу смiття, акт.№1 вiд 09.02.16р., дог.№ 6-ТПВ вiд 26.01.2016р., ПДВ-110,22"
13522712;08.02.2016;25408067;ННК "ІПСА" НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";820172;ДКСУ;602,04;"КПКВК 2201060, КЕВК 2282(2210) за додатки до диплома, з-но нак.№Д-0005 вiд 04.02.16р., Б.588, дог.№ 1  вiд 28.01.2016р, ПДВ-100,34"
14027844;15.02.2016;25408067;ННК "ІПСА" НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";820172;ДКСУ;529,04;"КПКВК 2201160, КЕКВ 2282(2240) вiдшкодування послуг з вивозу смiття, акт.№1/1 вiд 09.02.16р., дог.№ 6-ТПВ вiд 26.01.2016р., ПДВ-88,17"
12660113;27.01.2016;22876603;ПЛ НТУУ"КПІ";820019;ГУДКСУ у м.Києві;02070921;НТУУ "КПI";820172;ДКСУ;436,80;"#070201/2#,#2240-436,80#,#за послуги корист.iнтерн.#,# за 01.16р.,зг.рах.-акту № А-309Т/01-2016 вiд 26.01.16р.по дог.№А-309Т-5 вiд 26.01.16р.#,#ПДВ-72,80#."
14040228;15.02.2016;25408067;ННК "ІПСА" НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";820172;ДКСУ;365,40;"КПКВК 2201060, КЕВК 2282(2210) за  дипломи, з-но нак.№Д-0008 вiд 10.02.16р., Б.588, дог.№ 1  вiд 28.01.2016р, ПДВ-60,90"
14201483;17.02.2016;02125800;Київська міська студ.поліклініка;820019;ГУДКСУ у м.Києві;02070921;НТУУ "Київський полiтехнiчний iнститут;820172;ДКСУ;198,00;"#080300#,#2240- 198,00грн#,#Дог.№А-329Т-3/07-16вiд 26.01.2016р.Опл.за посл.дост до мережi Iнтернет зг.ак.№А329Т-3/02-2016вiд 17 .02.16р.за 01.16#,#ПДВ-33,00грн#"
13580100;09.02.2016;02125800;Київська міська студ.поліклініка;820019;ГУДКСУ у м.Києві;02070921;НТУУ "Київський полiтехнiчний iнститут;820172;ДКСУ;198,00;"#080300#,#2240- 198,00грн#,#Дог.№А-329Т-3/07-16вiд 26.01.2016р.Опл.за посл.дост до мережi Iнтернет зг.ак.№А329Т-3/01-2016вiд 29 .01.16р.за 01.16#,#ПДВ-33,00грн#"
12817768;28.01.2016;34652445;ВДВС Лубенського МРУЮ;831019;ГУДКСУ у Полтавській областi;02070921;НТУУ"Київський полiтехн. iнститут;820019;ГУДКСУ у м.Києві;154,57;"Борг з Табаєвої I.П. згiдно в/п xxxx/7 в/л № 760/xxxx/14-ц вiд 18.12.14р."
13523112;08.02.2016;25408067;ННК "ІПСА" НТУУ "КПІ";820172;ДКСУ;02070921;НТУУ "КПI";820172;ДКСУ;20,76;"КПКВК 2201060, КЕВК 2282(2210) за додаток до диплома, з-но нак.№Д-0004 вiд 01.02.16р., Б.588, дог.№ 1  вiд 28.01.2016р, ПДВ-3,46"
