№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
13750605;11.02.2016;2070921;"НТУ УКР.""КИЇВС.ПОЛІТ.ІНС-Т""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПІ""";820172;ДКСУ;939065,25;"Перерахування залишкiв коштiв (депоненти) в звязку з вiдкриттям нового рахунку."""
12266670;20.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ""КПI""";899998;NA;633514,33;*10102070921 ПДВ за грудень 2015р. 2201160 КЕКВ 2282(28000) б.488
16765126;22.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;370375,32;66410502230харчування курсантiвдог.№8  14.03.2016ракт №32  15.03.2016рПДВ-370375,32 грн.
17040147;25.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;300119,39;66410502230харчування курсантiвдог.№8  14.03.2016ракт №37  11.03.2016рПДВ-50019,90 грн.
12471079;25.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;288316,38;*10102070921ПДВ за грудень 2015р 2201040 КЕКВ 2281 (2800) б.488 
17058227;25.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;267171,2;66410502230харчування курсантiвдог.№8  14.03.2016ракт №36  15.03.2016рПДВ-44528,53 грн.
16773753;22.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;264598,32;66410502230харчування курсантiвдог.№8  14.03.2016ракт №33  15.03.2016рПДВ-44099,72 грн.
16782546;22.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;255780,01;66410502230харчування курсантiвдог.№8  14.03.2016ракт №31  15.03.2016рПДВ-42630,00 грн.
16392463;16.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;231100,83;*10102070921ПДВ за лютий 2016р 2201160 КЕКВ 2282 (2800) б.488 
17049628;25.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;218988,28;66410502230харчування курсантiвдог.№8  14.03.2016ракт №35  15.03.2016рПДВ-36498,05 грн.
13518140;08.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;191383;*10102070921ПДВ за сiчень 2016р. 2201040 КЕКВ 2281 (2800) б.488
13517979;08.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;188547,73;*10102070921ПДВ за сiчень 2016р. 2201160 КЕКВ 2282(2800) б.488
16367128;16.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;168034;*10102070921ПДВ за лютий 2016р 2201040 КЕКВ 2281 (2800) б.488 
16769951;22.03.2016;25408067;"ННК ""ІПСА"" НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;153259;КПКВК  2201160, КЕКВ 2282(2271, 2272, 2273)  вiдшкодування за комунальнi послуги , акт№1 вiд 18.03.16р.,Б.№ 498, дог.№3 вiд 01.03.2016р.
17060169;25.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;132298,72;66410502230харчування курсантiвдог.№8  14.03.2016ракт №34  15.03.2016рПДВ-22049,79 грн.
17040103;25.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;87424,96;*10102070921ПДВ за лютий 2016р 2201040 КЕКВ 2281 (2800) б.488 
17053863;25.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;81749,97;*10102070921ПДВ за лютий 2016р 2201160 КЕКВ 2282 (2800) б.488 
15478913;03.03.2016;34979237;"ДЗ ""ІСЗЗІ НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;71175;66410502240послуги з проживання(гуртожиток)дог.№6  25.02.2016р.акт б/н  01.03.2016р.Без ПДВ.
15000942;26.02.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;38500;110202,2271  Вiдшкодування теплопост. за 02.2016р.дог.№1 вiд 22.01.2016р.та акт №1 вiд 22.02.2016р.,Для б.н.498 ПДВ-6333,33.
17845263;31.03.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;38500;110202,2271  Вiдшкодування теплопост. за 03.2016р.дог.№1 вiд 22.01.2016р.та акт №3 вiд 23.03.2016р.,Для б.н.498 ПДВ-6333,33.
13109175;29.01.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;38500;#110202#,#2271 - 38500,00#,#Вiдшкодування теплопост. за 01.2016р.#,#акт №1 вiд 25.01.2016р., дог.№1 вiд 22.01.2016р.#,#ПДВ-6333,33#,#Для б.н.498#
12475566;25.01.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;28585,31;*10102070921ПДВ за грудень 2015р 2201040 КЕКВ 2281 (2800) б.488 
17054535;25.03.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;21443,92;*10102070921ПДВ за лютий 2016р 2201040 КЕКВ 2281 (2800) б.488 
17047542;25.03.2016;19413;Комітет з держ.премій Укр.в гал.наук;820172;ДКСУ;2070921;"Нац. тех. унiв. ""КПI""";820172;ДКСУ;19292;2201080 2730 Стипен КМУ за сiчень - 6  чол., лют. - берез. - 4 чол., Наказ  Ком. №22 вiд 25.12.2015 р. , Постанова КМУ вiд 27.08.08 №757
15004017;26.02.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;15000;110202,2273  Вiдшкодування електроен. за 02.2016р. дог.№1 вiд 22.01.2016р.та акт №1 вiд 22.02.2016р. Дляб.н.498 ПДВ-2500,00.
13107255;29.01.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;15000;#110202#,#2273 - 15000,00#,#Вiдшкодування електроен. за 01.2016р.#,#акт №1 вiд 25.01.2016р., дог.№1 вiд 22.01.2016р.#,#ПДВ-2500,00#,#Для б.н.498#
17846087;31.03.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;15000;110202,2273  Вiдшкодування електроен. за 03.2016р. дог.№1 вiд 22.01.2016р.та акт №3 вiд 23.03.2016р. Дляб.н.498 ПДВ-2500,00.
17324564;28.03.2016;37485511;"УПСЗН Солом""янської РДА";820019;ГУДКСУ у м.Києві;2070921;"НТУУ""КПI""";820172;ДКСУ;10000;0904052730б.н.538погаш.кредит.заборгов.субсид.кварт.плата пот.р.Р.33 вiд 22.03.16 зг акту зв. 199с вiд 28.03.16 ст.102БК,субвенцiя з ДБПДВ-1666,67.
14127949;16.02.2016;37485511;УПСЗН Солом'янської РДА;820172;ДКСУ;2070921;НТУ КПI;820172;ДКСУ;9378,33;2501200 2730  Компенсацiйнi  виплати  по  ЧАЕС  за  сiчень-лютий 2016 р., згiдно розрахунку № 31 вiд 15.02.2016 р. без ПДВ.
14636841;24.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;7132,5;*10102070921ПДВ за сiчень 2016р 2201040 КЕКВ 2281 (2800) б.488 
16678313;21.03.2016;25408067;"ННК ""ІПСА"" НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";820172;ДКСУ;6842,4;КПКВК 2201160, КЕКВ 2282(2240) за послуги з друку журналу акт №34 вiд 17.03.16р. б/н №588, дог.№ 5 вiд 09.03.2016р., без ПДВ
14791824;25.02.2016;37485511;"УПСЗН Солом""янської РДА";820019;ГУДКСУ у м.Києві;2070921;"НТУУ""КПI""";820172;ДКСУ;4837,16;0904052730б.н.498погаш.кредит.заборг.субс.кварт.плата мин.р.Р.23 вiд 22.02.16 зг акту зв.160с вiд 25.02.16 ст.102БК,субвенцiя з ДБПДВ- 806,19.
17849284;31.03.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;4000;110202,2272  Вiдшкодування водопост. за 03.2016р.,акт №3 вiд 23.03.2016р., дог.№1 вiд 22.01.2016р.Для б.н.498,ПДВ-666,67.
13110237;29.01.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;4000;#110202#,#2272 - 4000,00#,#Вiдшкодування водопост. за 01.2016р.#,#акт №1 вiд 25.01.2016р., дог.№1 вiд 22.01.2016р.#,#ПДВ-666,67#,#Для б.н.498#
15002971;26.02.2016;39629871;"ДПМ при НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;2070921;"НТУУ ""КПI""";820172;ДКСУ;4000;110202,2272  Вiдшкодування водопост. за 02.2016р. дог.№1 вiд 22.01.2016р.та акт №1 вiд 22.02.2016р. Для б.н.498ПДВ-666,67.
14630525;24.02.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;2070921;"НТУУ ""КПI""";899998;NA;3677,81;*10102070921ПДВ за сiчень 2016р 2201040 КЕКВ 2281 (2800) б.488 
16382399;16.03.2016;37485511;УПСЗН Солом'янської РДА;820172;ДКСУ;2070921;НТУ КПI;820172;ДКСУ;2931,03;2501200 2730  Компенсацiйнi  виплати  по  ЧАЕС  за  лютий 2016 р.,  згiдно розрахунку № 68  вiд  25.02.2016 р. без ПДВ.
