№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
11125443;25.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;10009118,11;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 12/2015р.#,#дог.№520 вiд 22.07.09р .#
5140242;30.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;9946845,65;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 10/2015р.#,#дог.№520 вiд 22.07.09р .#
11124861;25.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;8978763,62;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 12/2015р.
5137008;30.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";8127686,76;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 10/2015р.#,#дог.20-84/19 вiд 03.08.04р .#
11129041;25.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";8021292,27;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 12/2015р.#,#дог.20-84/19 вiд 03.08.04р .#
7511666;26.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;7844093;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 11/2015р.#,#дог.№520 вiд 22.07.09р .#
7510071;26.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;7355195,42;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 11/2015р.
10115894;21.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;6674748,25;#2201160#,# 2282#,#2720:Перерахування коштiв на виплату стипендiї за 12/2015р.#,# дог.523 вiд 22.07.09р.#,#без ПДВ#
6880520;20.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;6555934,35;#2201160#,# 2282#,#2720:Перерахування коштiв на виплату стипендiї за 11/2015р.#,# дог.523 вiд 22.07.09р.#,#без ПДВ#
7511253;26.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;14361575;"ПАТ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";6525422,37;#2201160#,#2282#,#2111:Перерахування коштiв на виплату з/пл за 11/2015р.#,#дог.20-84/19 вiд 03.08.04р .#
5134254;30.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;6393210,96;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 10/2015р.
11128456;25.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;131305;"ПАТ ""КИЇВЕНЕРГО""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;5765502,75;#2201160#,#2282#,#2271:Част. опл.теплоен.бюдж.устан.за 12/15р#,#акт 12/2015-910610 вiд 21.12.15р,дог.910610 вiд 05.06.15р#,#ПДВ-960917,13#
8931442;10.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5542074,99;#2201160#,#2282#,#2111: Перерахування коштiв на виплату з/пл. за 1пол.12/2015р.#, #дог.№520 вiд 22.07.09р .#
6303341;13.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5498401,64;#2201160#,#2282#,#2111: Перерахування коштiв на виплату з/пл. за 1пол.11/2015р.#, #дог.№520 вiд 22.07.09р .#
9295866;14.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;131305;"ПАТ ""КИЇВЕНЕРГО""";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;5200463,88;#2201160#,#2282#,#2271:Част. опл.теплоен.бюдж.устан.за 11/15р#,#акт вiд 10.12.15р,дог.910610 вiд 05.06.15р#,#ПДВ-866743,98#
3989438;23.10.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;21705696;"ПАТ КБ ""Приватбанк""";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5182740,75;#2201160#,# 2282#,#2720:Перерахування коштiв на виплату стипендiї за 10/2015р.#,# дог.523 вiд 22.07.09р.#,#без ПДВ#
6306248;13.11.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;5000000;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 1пол.11/2015р.
8931822;10.12.2015;2070921;"НТУУ ""КПІ""";820019;ГУДКСУ у м.Києві;39471390;"ДПI у Солом""янському р-нi  у м.Києвi";820019;ГУДКСУ у м.Києві;4900000;*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 1пол.12/2015р.
