№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
12895581;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;21705696;ПАТ КБ "Приватбанк";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;7743681,27;"2201160 2282 2111 Перерахування коштiв на виплату з/пл. за 01/2016р. дог.№520 вiд 22.07.09р ."
12923175;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ"КРЕДI АГРIКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";6716625,32;"2201160 2282 2111 Перерахування коштiв на виплату з/пл.за 01/2016р. дог.20-84/19 вiд 03.08.04р ."
14025450;15.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;21705696;ПАТ КБ "Приватбанк";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5943177,23;"2201160 2282 2111 Перерахування коштiв на виплату з/пл. за 1пол.02/2016р. дог.№520 вiд 22.07.09р ."
12467574;25.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;21705696;ПАТ КБ "Приватбанк";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5879351,98;"2201160 2282 2720:Перерахування коштiв на виплату стипендiї за 01/2016р. дог.523 вiд 22.07.09р. без ПДВ."
12265975;20.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;21705696;ПАТ КБ "Приватбанк";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;5641604,00;"#2201160#,#2282#,#2111: Перерахування коштiв на виплату з/пл. за 1пол.01/2016р.#, #дог.№520 вiд 22.07.09р .#"
14050765;15.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ"КРЕДI АГРIКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";4861193,45;"2201160 2282 2111 Перерахування коштiв на виплату з/пл за 1пол.02/2016р. дог.20-84/19 вiд 03.08.04р ."
12265848;20.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ"КРЕДI АГРIКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";4720305,70;"#2201160#,#2282#,#2111: Перерахування коштiв на виплату з/пл.за 1пол.01/2016р.#, #дог.20-84/19 вiд 03.08.04р .#"
12892494;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;39440996;МГУ ДФС-ЦЕНТР.ОФIС З ОВП;820019;ГУДКСУ у м.Києві;4461087,86;"*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 01/2016р."
12891011;28.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;4453056,24;"*101020709212201160,2282(2111) Податок на доходи найманих працiвникiв iз з/пл за 01/2016р."
12469461;25.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;14361575;ПАТ"КРЕДI АГРIКОЛЬ БАНК";300614;АТ "ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК";3170921,81;"2201160 2282 2720:Перерахування коштiв на виплату стипендiї за 01/2016р. дог.20-84/19 вiд 03.08.2004р. без ПДВ."
14046183;15.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;39440996;МГУ ДФС-ЦЕНТР.ОФIС З ОВП;820019;ГУДКСУ у м.Києві;3100000,00;"*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 1пол.02/2016р."
12469199;25.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;23494714;ПАТ "Альфа-Банк";300346;ЗАТ "АЛЬФА-БАНК", М.КИЇВ;2993313,77;"2201160 2282 2720:Перерахування коштiв на виплату стипендiї за 01/2016р. дог.17329 вiд 31.08.12р. без ПДВ."
12264949;20.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;39440996;МГУ ДФС-ЦЕНТР.ОФIС З ОВП;820019;ГУДКСУ у м.Києві;2992000,00;"*10102070921 2201160, 2282(2120) Єдиний внесок, нарах.роботодавцями на суму з/пл за 1пол.01/2016р."
14052485;15.02.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;2126000,00;"*101020709212201160,2282(2111) Податок на доходи найманих працiвникiв iз з/пл за 1пол.02/2016р."
12263813;20.01.2016;02070921;НТУУ "КПІ";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;1666500,00;"*101020709212201160,2282(2111) Податок на доходи найманих працiвникiв iз з/пл за 1пол.01/2016р."
