№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
17976286;04.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;21705696;"ПЕЧЕРСЬКА Ф.ПАТ КБ""ПРИВАТБАНК"", М.КИЇВ";300711;ЗАТ КБ ПРИВАТБАНК ПЕЧЕРСЬКА Ф.УМ.КИЄВІ;245087,12;Перерахування коштів на виплату лікарняних за 03/xxxxр.,зг.дог.520 від 22.07.xxxxр.
18298327;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;УДКСУ у Солом`янському р-нi;820019;ГУДКСУ у м.Києві;214914,26;*10102070921180105002201160,2282(2800)- Податок на землю за 04.2016,без ПДВ,Терм.спл.29.04.2016,б.498
17974242;04.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ ""КРЕДІ АГРІКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";138598,62;Перерахування коштів на виплату лікарняних за 03/xxxxр.,зг.дог.20-84/19 від 03.08.04р.
18066408;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;37715680;"ТОВ ""Черкасихлiб""";300528;"АКБ ""РАЙФФАЙЗЕНБАНК УКРАЇНА"", М.КИЇВ";111098,26;220116022822230 за прод. харчуванняакт зв №2(24.03.16р.)ВТ-1619(29.12.15р.)ПДВ-18516,38Б.578
17976508;04.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38050812;"УДКСУ у Солом""янському р-ні";820019;ГУДКСУ у м.Києві;58115,02;*101xxxxПодакток на доходи найманих працівників із лікарняних листів за 03/xxxx.
18064988;06.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;38595150;"ТОВ ""Смiлапостач""";354347;ЧЕРК.Ф.ГРУ ЗАТ КБ ПРИВАТБАНК М.ЧЕРКАСИ;46195,5;220116022822230 за прод. харчуванняакт зв №1(23.03.16р.)ВТ-1608(28.12.15р.)ПДВ-7699,25Б.578
18299495;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30180401;"ТОВ ""Дарина""";380805;"АППБ ""АВАЛЬ""";38102,4;220116022822230 за прод. харчуванняакт зв.№14(04.04.16р.)ВТ-1605(28.12.15р.)ПДВ-6350,40Б.578
18295118;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30188259;"ПП ""Рокада""";321767;"АКБ ""МРІЯ""";34152;220116022822240-опл.за рем.пожеж.сигнал.в к.16,вул.Полiтехнiчна,14згiдно дог.№БО-1659 вiд 04.02.2016,КБ-3 вiд 04.04.2016,б.500 ПДВ-5692,00.
18286420;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;22430008;"ТОВ ""Сандора""";351005;"АКЦ.-КОМ.ІННОВ.БАНК""УКРСИББАНК"",ХАРКІВ";33273,36;220116022822230 за прод. харчуванняакт зв №1(31.03.16р.)ВТ-1618(28.12.15р.)ПДВ-5545,56Б.578
18283047;08.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;36593565;"ТОВ ""Океан""";380946;NA;32630,88;220116022822230 за прод. харчуваннянакл.№1433(31.03.16р.)ВТ-1604(28.12.15р.)ПДВ-5438,48Б.578
18032171;05.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;37993783;ГУ ДКСУ у м.Києві;820172;ДКСУ;29619,02;Готiвка - лiкарнянi листи за 03/xxxxр.
18030913;05.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;14361575;"ПАТ ""КРЕДI АГРIКОЛЬ БАНК""";300614;"АТ ""ІHДУСТРІАЛЬHО-ЕКСПОРТHИЙ БАHК""";25558,74;220104022812111-Перерах. з/пл. на картки зг. контрактiв за 1 пол. квiтня 2016р. зг. дог. №20-84/19 вiд 03.08.04, б.н.558 без ПДВ
18177622;07.04.2016;2070921;"НТУУ ""КПІ""";820172;ДКСУ;30188259;"ПП ""Рокада""";321767;"АКБ ""МРІЯ""";24552;220116022822240 за монтаж сист.вiдеоспостер.в 4 залi бiбл.,пр.Перемоги,37л зг. дог.№БО-16100 вiд 16.03.2016,КБ-3 вiд 01.04.2016, б.500 в т.ч. ПДВ-4092,00.
