№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
9113338;11.12.2015;26252928;Держ.фонд фундаметальних досліджень;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;30711,37;"#2201040#,#2271-30711,37грн.#,#Вiдшкод.витрат за теплопостачання 11-12.15р#,#зг.д/у №1 вiд 07.08.15р.дог.№4 вiд 22.06.15р.,акт №50 вiд 11.12.15р.#,#Без ПДВ#"
9109361;11.12.2015;21574751;НАНЦ;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;17530,54;"#2201410##2281##вiдшкодування витрат за електричну енергiю, КЕКВ 2273, зг. дог. 1 вiд 18.02.15##акт 49 вiд 11.12.15##без ПДВ#"
8067283;30.11.2015;25736989;Рiвненський держ.гуманiт.унiверситет;833017;ГУДКСУ у Рiвненськiй областi;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;10112,63;"#xxxx,63#,#Перерахування повернутих студентами пiльгових кредитiв за навчання-xxxx,98%за кредит-xxxx,65#,#зг.Пост.КМУ вiд 16.06.03 №916,п.2#,#без ПДВ#"
5142024;30.10.2015;02070915;Нацiональний транспортний унiверситет;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;10100,00;"##Перерахув.коштiв повернутих кредитiв за xxxxр.зг.постанов.КМУ вiд 16.03.03.в установи вищого рiвня у сумi: xxxx,00  %-264,00грн.#"
9116396;11.12.2015;21574751;НАНЦ;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;9908,71;"#2201410##2281##вiдшкодування витрат за теплову енергiю, КЕКВ 2271, зг. дог. 1 вiд 18.02.15##акт 49 вiд 11.12.15##без ПДВ#"
11855806;30.12.2015;02070915;НТУ;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;8892,60;"##Перерахув.коштiв повернутих кредитiв за xxxxр.зг.постанов.КМУ вiд 16.03.03.в установи вищого рiвня у сумi: xxxx,87 %-366,60 та пеня - 2,13грн.#"
7104179;24.11.2015;21574751;НАНЦ;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;7318,43;"#2201410##2281##вiдшкодування витрат за електричну енергiю, КЕКВ 2273, зг.дог.1 вiд 18.02.15##акт 43 вiд 23.11.15##без ПДВ#"
6300994;13.11.2015;37470057;УПСЗН Шевченківської РДА;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;7266,56;"#2501350#,#2800#,#Компен пiдпр уст орган у меж серед зароб прац призв на вiйськ за призов пiд час моб на ос пер за сiчень-вересень2015 зг.пост№105#,##,#без ПДВ#"
4147526;26.10.2015;21574751;НАНЦ;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;7249,28;"#2201410##2281##вiдшкодування витрат за електричну енергiю, КЕКВ 2273, зг.дог.1 вiд 18.02.15##акт38 вiд 23.10.15##без ПДВ#"
9116424;11.12.2015;26252928;Держ.фонд фундаметальних досліджень;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;7219,04;"#2201040#,#2273#,#Вiдшкод.за електроенергiю 11-12.15р.#,#зг.д/у №1 вiд 07.08.15р дог.№4 вiд 22.06.15р.,акт №50 вiд 11.12.15р.#,#Без ПДВ#"
8711661;09.12.2015;00493712;Білоцерківський національний аграрний;821018;ГУДКСУ у Київській області;38621185;Міністерство освіти і науки України;820172;ДКСУ;6380,00;"Повернення цільового пільгового кредиту на здобуття освіти (кредит-xxxx,00 , відсотки-xxxx,00)."
7649206;27.11.2015;00493712;Білоцерківський національний аграрний;821018;ГУДКСУ у Київській області;38621185;Міністерство освіти і науки України;820172;ДКСУ;5800,00;"Повернення цільового пільгового кредиту на здобуття освіти (кредит-xxxx,00 в т.ч. відсотки-xxxx,00)."
9745188;17.12.2015;02071116;Нац.унiвер.водн.господ. та природокор.;833017;ГУДКСУ у Рiвненськiй областi;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;5606,00;"#xxxx,00#,#Перераховуються повернутi студентами на рахунок унiверситету  кредити#,#згiдно Постанови КМУ вiд 16.06.xxxxр.№916#,#без ПДВ#"
8558738;07.12.2015;02070915;Нацiональний транспортний унiверситет;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;5170,00;"##Перерахув.коштiв повернутих кредитiв за xxxxр.зг.постанов.КМУ вiд 16.03.03.в установи вищого рiвня у сумi: xxxx.00грн.#"
11534968;29.12.2015;04543387;ДВНЗ"Переяслав-Хмельницький ДПУ";821018;ГУДКСУ у Київській області;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;5025,65;"#Повернення державного кредиту на навчання-xxxx,93 3%xxxx,72-#"
10479028;23.12.2015;02071234;ХНУ;815013;ГУДКСУ у Хмельницькiй областi;38621185;Міністерство освіти і науки України;820172;ДКСУ;4987,50;"xxxx,50грн.Повернуті державні пільгові довгострокові кредити. - -"
10060606;21.12.2015;33680120;ТНЕУ;838012;ГУДКСУ у Тернопільській областi;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;4944,53;"Перерахув. повернутих  держ.цiльов.пiльгових кредитiв#зг.листа МОН №11/67-844 вiд 18.12.06р.#"
8364503;03.12.2015;02125668;Ніжинський державний університет ім.М.;853592;ГУДКСУ у Чернігівській областi;38621185;Міністерство освіти і науки України;820172;ДКСУ;4860,00;"#xxxx#,#xxxx#,#Повернення державних цільових пільгових кредитів#"
11190838;28.12.2015;37470057;УПСЗН Шевченківської РДА;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;4768,68;"#2501350#,#2800#,#Компен пiдпр уст орган у меж серед зароб прац призв на вiйськ служб за призов пiд час мобiл на ос пер за сiчень-листопад2015#,##,#без ПДВ#"
9483994;15.12.2015;37470057;УПСЗН Шевченківської РДА;820019;ГУДКСУ у м.Києві;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;4768,68;"#2501350#,#2800#,#Компен пiдпр уст орган у меж серед зароб прац призв на вiйськ служб за призов пiд час мобiл на ос пер за жовтень2015#,##,#без ПДВ#"
