№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
13270171;02.02.2016;02070944;КНУ iм.Т.Шевченка;820019;ГУДКСУ у м.Києві;38621185;Мiн.освiти i науки України;820172;ДКСУ;5000,00;"0-xxxx.00перерах. сума поверн. довгостр. пiльг кред для здоб осв. у ВНЗ та вiдс за корис. в т.ч. вiдс.493,01 грн. та пенi 0,00 грн. 06.01.xxxx без ПДВ"
13307705;03.02.2016;22554101;НУ "Острозька академiя";833017;ГУДКСУ у Рiвненськiй областi;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;4809,97;"Повернення пiльгового кредиту Панасюка Вiктора Сергiйовича"
13333999;03.02.2016;02071116;Нац.унiвер.водн.господ. та природокор.;820172;ДКСУ;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;3895,00;"Перераховуються повернутi студентами на рахунок унiверситету  кредитизгiдно Постанови КМУ вiд 16.06.xxxxр.№916без ПДВ."
13671713;10.02.2016;02125415;КДПУ iм.В.Винниченка;820172;ДКСУ;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;3000,00;"xxxx xxxx Перерах. поверн.08.02.16р.кредит-xxxx,00грн та вiдсотки-944,00грн ПКМУ№916, 10.06.03р,МОНУ№1/9-791,№11/67-844,18.12.06р без ПДВ."
12035214;15.01.2016;37939527;КЛА НАУ;823016;ГУДКСУ у Кіровоградській області;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;3000,00;"#xxxx#,#Повер.держ.пiльг.довгостр.кред.на здоб.вищ.освiти та вiдсот.за корист.#,#зг.листа МОНУ №1/9-760 вiд 03.11.09р.(кред-xxxx,00%-579,00)#"
14217054;17.02.2016;33680120;ТНЕУ;820172;ДКСУ;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;2896,47;"Перерахув. повернутих  держ.цiльов.пiльгових кредитiвзг.листа МОН №11/67-844 вiд 18.12.06р."
11970879;13.01.2016;33680120;ТНЕУ;838012;ГУДКСУ у Тернопільській областi;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;2305,01;"Перерахув. повернутих  держ.цiльов.пiльгових кредитiв#зг.листа МОН №11/67-844 вiд 18.12.06р.#"
12204038;19.01.2016;25736989;Рiвненський держ.гуманiт.унiверситет;833017;ГУДКСУ у Рiвненськiй областi;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;2269,27;"#xxxx,27#,#Перерахування повернутих студентами пiльгових кредитiв за навчання-xxxx,67%за кредит-282,60#,#зг.Пост.КМУ вiд 16.06.03 №916,п.2#,#без ПДВ#"
13390370;04.02.2016;02071234;ХНУ;820172;ДКСУ;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;2253,34;"xxxx,34грн.Повернутi державнi пiльговi довгостроковi кредити. - -"
14046992;15.02.2016;37993783;ГУ ДКСУ у м. Києві;820172;ДКСУ;38621185;Міністерство освіти і науки України;820172;ДКСУ;2131,14;"35040102111-2131,14Компенс.щорічн. відп.при звільн.Журби В.М. 12 к.д. від.№18 від 12.02.2016р.дог.№К2УООF/1 від 26.12.2011р.Без ПДВ."
13455864;05.02.2016;02071116;Нац.унiвер.водн.господ. та природокор.;820172;ДКСУ;38621185;Мiнiстерство освiти i науки України;820172;ДКСУ;2076,00;"Перераховуються повернутi студентами на рахунок унiверситету  кредитизгiдно Постанови КМУ вiд 16.06.xxxxр.№916без ПДВ."
