№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
1839396;29.09.2015;38621185;МОН України;820172;ДКСУ;14360570;ПАТ КБ"ПРИВАТ БАНК";320649;Ф"РОЗРАХ.ЦЕНТР"ЗАТКБ ПРИВАТБАНКУ, КИЇВ;1226133,37;"#2201010#,#2111#,#Перерахування зароб.плати за вересень 2015р.на карт.рах.#,#Зг.Дог.14321000029вiд07.04.2014р.#"
1839816;29.09.2015;38621185;МОН України;820172;ДКСУ;39561761;ДПI У ШЕВЧЕНКIВСЬКОМУ Р.;820019;ГУДКСУ у м.Києві;570276,62;"*10138621185КПКВК 2201010 КЕКВ 2120 Сплата ЄСВ нарах.на зароб.плату за вересень 2015р.,36,3%"
401701;14.09.2015;38621185;МОН України;820172;ДКСУ;14360570;ПАТ КБ"ПРИВАТ БАНК";320649;Ф"РОЗРАХ.ЦЕНТР"ЗАТКБ ПРИВАТБАНКУ, КИЇВ;456938,84;"#2201010#,#2111#,#Перерахування зароб.плати за I-пол.вересня 2015р.на карт.рах.#,#Зг.Дог.14321000029вiд07.04.2014р.#"
1838837;29.09.2015;38621185;МОН України;820172;ДКСУ;37995466;Шевчен. УК/Шевч.р-нi м.Києва/11010100;820019;ГУДКСУ у м.Києві;238959,57;"*10138621185КПКВК 2201010 КЕКВ 2111 Податок на доходи фiз.осiб iз зароб.плати за  вересень 2015р."
1570091;28.09.2015;38621185;МОН України;820172;ДКСУ;37567646;Казначейство України/м.Київ/24110800;820172;ДКСУ;209309,23;"*101xxxxПов.цiльов.пiльг.кред.(пост.КМУ-16.06.03№916)ст.на 22.09.15р.зг.лис.ДКСУ-27.02.09№14-04-1/618-xxxxзг.зак.про ДБУна xxxxр."
401816;14.09.2015;38621185;МОН України;820172;ДКСУ;38728711;ДПIуШевченкiвськомур-нiГУМiндохумКиєвi;820019;ГУДКСУ у м.Києві;203911,36;"*10138621185КПКВК 2201010 КЕКВ 2120 Сплата ЄСВ нарах.на зароб.плату за  I-пол.вересня 2015р.,36,3%"
1839482;29.09.2015;38621185;МОН України;820172;ДКСУ;39561761;ДПI У ШЕВЧЕНКIВСЬКОМУ Р.;820019;ГУДКСУ у м.Києві;103972,94;"*10138621185КПКВК 2201010 КЕКВ 2111 Сплата ЄСВ утрим.з зароб.плати за вересень 2015р.,6,1%"
402205;14.09.2015;38621185;МОН України;820172;ДКСУ;37995466;Шевчен. УК/Шевч.р-нi м.Києва/11010100;820019;ГУДКСУ у м.Києві;68728,30;"*10138621185КПКВК 2201010 КЕКВ 2111 Податок на доходи фiз.осiб iз зароб.плати за I-пол.вересня 2015р."
855466;21.09.2015;38621185;МОН України;820172;ДКСУ;01189979;КМД УДППЗ"Укрпошта";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;57829,60;"#2201080#,#2730#,#Презид.стип.за09м15р.#,#Вiдпрв.пошт.перек.за списк.через ВЗ-01001.Сума перек.56940,00грн.за перек.грош.-889,60грн. п.п.196.1.5ПК#,#БезПДВ#"
1569715;28.09.2015;38621185;МОН України;820172;ДКСУ;37567646;Казначейство України/м.Київ/00261500;820172;ДКСУ;49599,66;"*101xxxxВiдсотки за кор.бюд.позич.та кредит(пост.КМУ-16.06.03№916)ст.на 22.09.15р.зг.лис.ДКСУ-27.02.09№14-04-1/618-xxxxзг.зак.про ДБУна xxxxр."
939928;22.09.2015;38621185;МОН України;820172;ДКСУ;14072300;ДП"Виробничо-будiвельне об"єднання";380805;АППБ "АВАЛЬ";35184,10;"#2201010#,#2273#,#вiдшкод.електропост.за 09м15р.#,#дог.01вiд12,02,15р,д/у№2вiд17,09,15р,акт№15/К вiд21,09,15р.#,#в т.ч.ПДВ-5864,02#"
401737;14.09.2015;38621185;МОН України;820172;ДКСУ;38728711;ДПIуШевченкiвськомур-нiГУМiндохумКиєвi;820019;ГУДКСУ у м.Києві;27949,51;"*10138621185КПКВК 2201010 КЕКВ 2111 Сплата ЄСВ утрим.з зароб.плати за  I-пол.вересня 2015р.,6,1%"
1569950;28.09.2015;38621185;МОН України;820172;ДКСУ;14072300;ДП"Виробничо-будiвельне об"єднання";380805;АППБ "АВАЛЬ";27887,48;"#2201010#,#2240#,#вiдшкод.експлуат.витрат.за II-пол.07м15р.#,#дог.02вiд26,02,15р,д/у№2вiд04,09,15р,акт№8/ЕК вiд23,09,15р.#,#в т.ч.ПДВ-4647,91#"
1839758;29.09.2015;38621185;МОН України;820172;ДКСУ;37995466;Шевчен. УК/Шевч.р-нi м.Києва/11011000;820019;ГУДКСУ у м.Києві;25747,48;"*10138621185КПКВК 2201010 КЕКВ 2111 Вiйськовий збiр iз зароб.плати за вересень 2015р."
855433;21.09.2015;38621185;МОН України;820172;ДКСУ;00131305;АК "Київенерго";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;22684,88;"#2201010#,#2273#,#актив.електроенерг.за 09м15р.#,#Дог.33643-Т115вiд11,03,15р.акт№33643012/9/1вiд16,09,15р.#,#в т.ч.ПДВ-3780,81#"
1839767;29.09.2015;38621185;МОН України;820172;ДКСУ;14360570;ПАТ КБ"ПРИВАТ БАНК";320649;Ф"РОЗРАХ.ЦЕНТР"ЗАТКБ ПРИВАТБАНКУ, КИЇВ;21882,99;"Перерахування допомоги по тимчасовiй непрацездатностi за 08м15р.,нарах.в 09м15р.Зг.дог.xxxxвiд07.04.xxxxр."
