№ ТРАНСАКЦІЇ;ДАТА;КОД ПЛАТНИК;НАЗВА ПЛАТНИКА;МФО ПЛАТНИКА;БАНК ПЛАТНИКА;КОД ОДЕРЖУВАЧ;НАЗВА ОДЕРЖУВАЧ;МФО ОДЕРЖУВАЧ;БАНК ОДЕРЖУВАЧ;СУМА;ПРИЗНАЧЕННЯ ПЛАТЕЖУ
12885643;28.01.2016;38621185;МОН України;820172;ДКСУ;14360570;ПАТ КБ"ПРИВАТ БАНК";320649;Ф"РОЗРАХ.ЦЕНТР"ЗАТКБ ПРИВАТБАНКУ, КИЇВ;766314,11;"22010102111перерахування зароб.плати за сiчень 2016р.на карт.рах.зг.дог.14321000029вiд07.04.2014р."
13752007;11.02.2016;38621185;МОН України;820172;ДКСУ;14360570;ПАТ КБ"ПРИВАТ БАНК";320649;Ф"РОЗРАХ.ЦЕНТР"ЗАТКБ ПРИВАТБАНКУ, КИЇВ;577670,44;"22010102111перерахування зароб.плати за I-пол.лютого 2016р.на карт.рах.зг.дог.14321000029вiд07.04.2014р."
12069935;15.01.2016;38621185;МОН України;820172;ДКСУ;14360570;ПАТ КБ"ПРИВАТ БАНК";320649;Ф"РОЗРАХ.ЦЕНТР"ЗАТКБ ПРИВАТБАНКУ, КИЇВ;549366,23;"#2201010#,#2111#,#Перерахування зароб.плати за I-пол.сiчня 2016р.на карт.рах.#,#Зг.Дог.14321000029вiд07.04.2014р.#"
13144070;29.01.2016;38621185;МОН України;820172;ДКСУ;37567646;Казначейство України/м.Київ/00261500;820172;ДКСУ;302220,74;"*101xxxxПов.цiльов.пiльг.кред.(пост.КМУ-16.06.03№916)ст.на 27.01.16р.зг.лис.ДКСУ-27.02.09№14-04-1/618-xxxxзг.зак.про ДБУна xxxxр."
12890193;28.01.2016;38621185;МОН України;820172;ДКСУ;39561761;ДПI У ШЕВЧЕНКIВСЬКОМУ Р.;820019;ГУДКСУ у м.Києві;213621,49;"*10138621185КПКВК 2201010 КЕКВ 2120 сплата ЄСВ нарах.на зароб.плату за сiчень 2016р.,22%"
12902867;28.01.2016;38621185;МОН України;820172;ДКСУ;37995466;Шевчен. УК/Шевч.р-нi м.Києва/11010100;820019;ГУДКСУ у м.Києві;198708,70;"*10138621185КПКВК 2201010 КЕКВ 2111 податок на доходи фiз.осiб iз зароб.плати за сiчень 2016р."
13765409;11.02.2016;38621185;МОН України;820172;ДКСУ;39561761;ДПI У ШЕВЧЕНКIВСЬКОМУ Р.;820019;ГУДКСУ у м.Києві;152284,94;"*10138621185КПКВК 2201010 КЕКВ 2120 сплата ЄСВ нарах.на зароб.плату за I-пол.лютого 2016р.,22%"
12069635;15.01.2016;38621185;МОН України;820172;ДКСУ;39561761;ДПI У ШЕВЧЕНКIВСЬКОМУ Р.;820019;ГУДКСУ у м.Києві;144843,76;"*10138621185КПКВК 2201010 КЕКВ 2120 Сплата ЄСВ нарах.на зароб.плату за I-пол.сiчня 2016р.,22%"
13767039;11.02.2016;38621185;МОН України;820172;ДКСУ;37995466;Шевчен. УК/Шевч.р-нi м.Києва/11010100;820019;ГУДКСУ у м.Києві;104265,08;"*10138621185КПКВК 2201010 КЕКВ 2111 податок на доходи фiз.осiб iз зароб.плати за I-пол.лютого 2016р."
12068446;15.01.2016;38621185;МОН України;820172;ДКСУ;37995466;Шевчен. УК/Шевч.р-нi м.Києва/11010100;820019;ГУДКСУ у м.Києві;99170,32;"*10138621185КПКВК 2201010 КЕКВ 2111 Податок на доходи фiз.осiб iз зароб.плати за  I-пол.сiчня 2016р."
13166815;29.01.2016;38621185;МОН України;820172;ДКСУ;37567646;Казначейство України/м.Київ/24110800;820172;ДКСУ;63294,19;"*101xxxxВiдсотки за кор.бюд.позич.та кредит(пост.КМУ-16.06.03№916)ст.на27.01.16р.зг.лис.ДКСУ-27.02.09№14-04-1/618-xxxxзг.зак.про ДБУна xxxxр."
13758838;11.02.2016;38621185;МОН України;820172;ДКСУ;01189979;КМД УДППЗ"Укрпошта";322669;ГУ ОЩАДБАНКУ ПО М.КИЄВУ І ОБЛ.;60499,07;"22010802730Презид.стип.за02м16р.Вiдпрв.пошт.перек.за списк.через ВЗ-01001.Сума перек.-59607,00грн.за перек.грош.-892,07грн. п.п.196.1.5ПКУБезПДВ."
